174	ΕΚΠΑΙΔΕΥΤΙΚΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)	16340
187	ΚΟΙΝΩΝΙΚΗΣ & ΕΚΠΑΙΔΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΚΟΡΙΝΘΟΣ)	13207
159	ΚΟΙΝΩΝΙΚΗΣ ΠΟΛΙΤΙΚΗΣ (ΑΘΗΝΑ)	14538
342	ΑΡΧΕΙΟΝΟΜΙΑΣ	11352
355	ΔΙΕΘΝΩΝ & ΕΥΡΩΠΑΪΚΩΝ ΣΠΟΥΔΩΝ (ΠΕΙΡΑΙΑΣ)	17987
179	ΔΙΕΘΝΩΝ	17587
351	ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ (ΡΕΘΥΜΝΟ)	12517
357	ΠΟΛΙΤΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ) 	16215
373	ΚΟΙΝΩΝΙΚΗΣ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ (ΚΟΜΟΤΗΝΗ) - ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ	13108
123	ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ & ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (ΑΘΗΝΑ)	16357
124	ΔΗΜΟΣΙΑΣ ΔΙΟΙΚΗΣΗΣ (ΑΘΗΝΑ)	12334
125	ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ & ΙΣΤΟΡΙΑΣ (ΑΘΗΝΑ)	15579
411	ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΔΙΕΘΝΩΝ ΣΧΕΣΕΩΝ (ΚΟΡΙΝΘΟΣ)	14039
181	ΜΕΣΟΓΕΙΑΚΩΝ ΣΠΟΥΔΩΝ (ΡΟΔΟΣ)	11433
126	ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ)	15408
149	ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ)	12742
348	ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ (ΜΥΤΙΛΗΝΗ)	12010
165	ΚΟΙΝΩΝΙΚΗΣ ΑΝΘΡΩΠΟΛΟΓΙΑΣ (ΑΘΗΝΑ)	14805
167	ΚΟΙΝΩΝΙΚΗΣ ΑΝΘΡΩΠΟΛΟΓΙΑΣ & ΙΣΤΟΡΙΑΣ (ΜΥΤΙΛΗΝΗ)	11682
343	ΚΟΙΝΩΝΙΚΗΣ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ (ΚΟΜΟΤΗΝΗ) -ΚΟΙΝΩΝΙΚΗΣ ΔΙΟΙΚΗΣΗΣ 	13005
148	ΕΠΙΚΟΙΝΩΝΙΑΣ & ΜΕΣΩΝ ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ (ΑΘΗΝΑ)	17349
153	ΕΠΙΚΟΙΝΩΝΙΑΣ	16570
147	ΔΗΜΟΣΙΟΓΡΑΦΙΑΣ & ΜΕΣΩΝ ΜΑΖΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)	16569
176	ΒΑΛΚΑΝΙΚΩΝ	14924
192	ΣΛΑΒΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ)	14221
188	ΤΟΥΡΚΙΚΩΝ ΣΠΟΥΔΩΝ ΚΑΙ ΣΥΓΧΡΟΝΩΝ ΑΣΙΑΤΙΚΩΝ ΣΠΟΥΔΩΝ (ΑΘΗΝΑ)	13287
171	ΨΥΧΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - Ε.Κ.Π.Α.	17725
151	ΨΥΧΟΛΟΓΙΑΣ (ΡΕΘΥΜΝΟ)	17121
170	ΨΥΧΟΛΟΓΙΑΣ (ΑΘΗΝΑ) - ΠΑΝΤΕΙΟ	17381
172	ΨΥΧΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)	17517
385	ΞΕΝΩΝ ΓΛΩΣΣΩΝ ΜΕΤΑΦΡΑΣΗΣ ΚΑΙ ΔΙΕΡΜΗΝΕΙΑΣ (ΚΕΡΚΥΡΑ)	16124
403	ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ)	17098
405	ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ (ΤΡΙΚΑΛΑ)	15834
